Model,Test_Accuracy,Test_Precision,Test_Recall,Test_F1-Score,Test_AUC,CV_F1_Mean,CV_F1_Std,CV_AUC_Mean,CV_AUC_Std
Random Forest,0.9982443820224719,0.3333333333333333,1.0,0.5,0.9995079950799508,0.9964545999176672,0.0003803230440847545,0.9998736782753338,9.30670952547014e-05
KNN,0.9910463483146067,0.08928571428571429,1.0,0.16393442622950818,0.9971885433140045,0.9942292672202129,0.00014121240633575662,0.9969408149589821,0.0003133910538072046
Naive Bayes,0.977001404494382,0.03676470588235294,1.0,0.07092198581560284,0.9937620804779476,0.9054054914496869,0.0012432853691723442,0.9493467500504723,0.0005889798429160733
Gradient Boosting,0.9748946629213483,0.033783783783783786,1.0,0.06535947712418301,0.9966262519768054,0.9546445824377559,0.001063943356712689,0.9937764671407424,0.00031761317290490953
Logistic Regression,0.9719101123595506,0.030303030303030304,1.0,0.058823529411764705,0.9997188543314005,0.9524233763108306,0.0005261643693248349,0.99209482445196,0.0002643992222002506
Decision Tree,0.9775280898876404,0.030534351145038167,0.8,0.058823529411764705,0.838200667720963,0.9819294990654089,0.0018728713381540572,0.9882782877432262,0.0013988429886547314
